Date,hash_ate,transaction_count,s&p500,gold,13w_treasury,usd_index,Open,High,Low,Close,Volume,Market Cap,SMA,EMA,RSI,VWAP,ATR,OBV,google_trends,forecast
2019-03-04,2,2,2,2,0,0,1,1,0,1,0,0,0,2,2,2,2,2,1,0
2019-03-11,0,0,2,2,2,2,1,1,2,0,0,1,2,1,0,1,0,0,2,2
2019-03-18,2,2,2,2,0,0,1,1,2,2,0,2,1,1,1,2,2,1,1,0
2019-03-25,2,2,2,2,2,0,1,1,0,0,0,1,1,1,2,1,0,2,2,2
2019-04-01,0,2,2,2,0,0,1,1,2,2,0,2,1,1,0,2,1,0,1,2
2019-04-08,2,0,2,2,0,2,1,1,2,2,0,2,1,1,1,1,0,1,2,0
2019-04-15,0,2,2,2,2,0,1,1,0,0,0,1,1,1,2,2,1,0,2,2
2019-04-22,2,0,2,2,2,0,1,1,2,2,0,2,1,1,1,1,2,1,1,0
2019-04-29,2,2,2,2,0,2,1,1,0,0,0,1,1,1,2,2,0,2,2,2
2019-05-06,2,2,2,2,0,2,1,1,2,2,0,2,1,1,0,1,1,0,1,2
2019-05-13,0,0,2,2,2,0,1,1,2,2,0,1,1,1,1,2,0,1,1,0
2019-05-20,2,2,2,2,2,2,1,1,0,0,0,2,1,1,2,0,1,2,2,2
2019-05-27,2,2,2,2,0,0,1,1,2,2,0,1,1,1,0,1,2,1,1,0
2019-06-03,0,0,2,2,2,2,1,1,0,0,0,0,0,0,1,2,0,2,2,1
2019-06-10,2,2,2,2,2,0,1,1,1,1,0,0,2,2,2,0,1,2,2,0
2019-06-17,0,0,2,2,2,2,1,1,0,0,0,0,1,1,0,1,2,0,1,2
2019-06-24,2,2,2,2,2,2,1,1,2,2,0,0,1,1,1,2,1,1,1,0
2019-07-01,2,0,2,2,0,0,1,1,0,0,0,0,1,1,2,0,0,2,2,2
2019-07-08,2,2,2,2,2,2,1,1,2,2,0,0,0,1,1,1,1,1,2,0
2019-07-15,0,0,2,2,2,0,1,1,0,0,0,0,2,0,2,2,2,2,1,1
2019-07-22,2,0,2,2,0,0,1,1,2,1,0,0,2,2,1,0,1,2,2,0
2019-07-29,2,0,2,2,2,0,1,1,0,0,0,0,2,2,2,1,2,0,2,2
2019-08-05,2,2,2,2,2,2,1,1,2,2,0,0,1,1,1,2,2,1,1,0
2019-08-12,2,0,2,2,2,0,1,1,2,0,0,0,0,0,2,0,0,2,2,1
2019-08-19,0,2,2,2,0,2,1,1,0,1,0,0,2,2,1,1,1,1,2,0
2019-08-26,2,0,2,2,0,0,1,1,1,0,0,0,2,2,2,2,2,2,1,1
2019-09-02,2,2,2,2,2,2,1,1,0,1,0,0,2,2,0,0,0,1,1,0
2019-09-09,2,2,2,2,2,2,1,1,2,0,0,0,1,1,1,1,2,2,2,1
2019-09-16,2,0,2,2,2,0,1,1,2,1,0,0,0,0,2,2,0,0,2,0
2019-09-23,0,2,2,2,2,0,1,1,0,0,0,0,2,2,1,0,2,2,1,1
2019-09-30,2,0,2,2,2,2,1,1,1,1,0,0,2,2,2,1,0,0,2,0
2019-10-07,2,0,2,2,2,2,1,1,0,0,0,0,2,2,0,2,1,2,1,2
2019-10-14,0,0,2,2,0,2,1,1,2,2,0,0,1,2,1,1,2,0,2,0
2019-10-21,2,2,2,2,2,0,1,1,0,0,0,0,2,2,2,2,2,1,1,2
2019-10-28,0,0,2,2,2,2,1,1,2,2,0,0,1,1,0,0,0,0,2,2
2019-11-04,0,0,2,2,0,0,1,1,0,2,0,0,1,0,1,1,1,1,1,0
2019-11-11,2,2,2,2,0,2,1,1,1,0,0,0,0,2,2,2,2,2,2,1
2019-11-18,2,0,2,2,0,0,1,1,0,1,1,0,2,2,1,0,2,0,1,0
2019-11-25,0,0,2,2,2,2,1,1,1,0,2,0,2,2,2,1,0,2,2,2
2019-12-02,0,0,2,2,2,2,1,1,0,2,1,1,2,2,0,2,1,0,1,2
2019-12-09,2,2,2,2,0,2,1,1,2,2,2,2,2,2,1,1,2,1,2,0
2019-12-16,0,0,2,2,0,0,1,1,0,0,1,1,2,2,2,2,2,2,1,2
2019-12-23,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,0,2,2,0
2019-12-30,0,0,2,2,2,2,1,1,0,0,1,1,1,1,2,2,1,0,0,2
2020-01-06,2,0,2,2,0,0,1,1,2,2,2,2,1,1,0,1,2,1,0,2
2020-01-13,2,2,2,2,0,0,1,1,2,2,1,1,1,1,1,2,0,2,0,0
2020-01-20,2,2,2,2,2,0,1,1,0,0,2,2,1,1,2,0,1,0,0,2
2020-01-27,2,0,2,2,0,2,1,1,2,2,1,1,1,1,0,1,2,1,0,0
2020-02-03,2,2,2,2,0,0,1,1,0,0,2,2,1,1,0,2,0,2,0,2
2020-02-10,0,0,2,2,0,0,1,1,2,2,1,1,1,1,1,0,1,0,1,0
2020-02-17,2,2,2,2,2,0,1,1,0,0,2,0,1,0,2,1,0,1,2,1
2020-02-24,0,0,2,2,2,2,1,1,2,1,0,0,0,2,1,2,1,2,1,0
2020-03-02,2,2,2,2,2,2,1,1,0,0,0,0,2,2,2,0,0,0,2,1
2020-03-09,2,2,2,2,2,0,1,1,1,1,0,0,2,2,1,1,1,2,1,0
2020-03-16,0,0,2,2,2,0,1,1,0,0,0,1,2,2,2,2,0,0,1,2
2020-03-23,0,0,2,2,2,2,1,1,2,2,0,2,2,2,1,1,1,1,2,0
2020-03-30,2,2,2,2,2,0,1,1,0,0,0,1,1,1,2,2,2,2,2,2
2020-04-06,2,2,2,2,0,2,1,1,2,2,0,2,1,1,0,1,0,1,1,0
2020-04-13,2,2,2,2,2,0,1,1,0,0,0,1,1,1,1,2,2,2,2,2
2020-04-20,0,2,2,2,2,0,1,1,2,2,0,2,1,1,2,1,0,2,2,0
2020-04-27,0,2,2,2,2,2,1,1,0,0,0,1,1,1,0,2,2,0,0,2
2020-05-04,2,2,2,2,0,0,1,1,2,2,0,2,1,1,1,0,0,1,0,0
2020-05-11,2,2,2,2,0,0,1,1,0,0,0,1,1,1,2,1,1,2,0,2
2020-05-18,0,0,2,2,0,2,1,1,2,2,0,2,0,0,1,2,2,1,1,0
2020-05-25,0,0,2,2,0,2,1,1,0,0,0,1,2,2,2,0,2,0,2,2
2020-06-01,2,2,2,2,0,2,1,1,2,2,0,2,1,1,0,1,0,1,1,0
2020-06-08,2,2,2,2,0,0,1,1,2,0,0,0,1,0,1,2,2,0,2,1
2020-06-15,0,2,2,2,2,0,1,1,0,1,0,0,0,2,2,0,0,1,1,0
2020-06-22,0,0,2,2,2,2,1,1,2,0,0,0,2,2,1,1,2,2,2,1
2020-06-29,2,2,2,2,2,2,1,1,0,1,0,0,2,2,2,2,0,0,1,0
2020-07-06,2,2,2,2,2,2,1,1,2,0,0,0,2,2,0,0,1,2,2,1
2020-07-13,0,2,2,2,2,2,1,1,2,1,0,0,1,1,1,1,2,0,1,0
2020-07-20,0,0,2,2,2,2,1,1,0,0,0,0,1,2,2,2,2,2,2,2
2020-07-27,2,2,2,2,2,2,1,1,2,2,0,1,1,1,1,0,0,0,1,2
2020-08-03,0,2,2,2,0,2,1,1,2,2,0,2,1,1,2,1,1,1,2,0
2020-08-10,0,0,2,2,2,2,1,1,0,0,1,1,1,1,0,2,2,0,2,2
2020-08-17,2,2,2,2,2,0,1,1,2,2,2,2,1,1,1,0,2,1,1,0
2020-08-24,0,0,2,2,0,2,1,1,0,0,1,0,0,0,2,1,0,2,2,1
2020-08-31,0,0,2,2,0,0,1,1,1,1,2,0,2,2,1,2,2,2,1,0
2020-09-07,2,2,2,2,2,0,1,1,0,0,1,0,2,2,2,0,0,0,2,2
2020-09-14,2,0,2,2,2,2,1,1,2,2,2,0,2,2,1,1,1,1,2,0
2020-09-21,2,0,2,2,0,0,1,1,0,0,1,0,1,1,2,2,2,2,1,2
2020-09-28,2,0,2,2,2,2,1,1,2,2,2,1,0,0,0,0,2,1,2,0
2020-10-05,0,2,2,2,0,2,1,1,0,0,0,2,2,2,1,1,0,2,0,2
2020-10-12,2,2,2,2,2,0,1,1,2,2,0,1,1,1,2,2,1,0,0,0
2020-10-19,2,0,2,2,2,2,1,1,0,0,0,2,1,1,0,0,0,1,0,2
2020-10-26,0,0,2,2,2,0,1,1,2,2,0,1,1,1,1,1,1,0,0,0
2020-11-02,0,0,2,2,2,2,1,1,0,0,0,2,1,1,2,2,0,1,1,2
2020-11-09,2,2,2,2,2,0,1,1,2,2,0,1,1,1,0,0,1,0,2,0
2020-11-16,0,0,2,2,2,2,1,1,0,0,0,2,1,1,1,1,2,1,1,2
